discount	name	weight_volume_price	price	old_price	image_link
0	Рис Селяночка круглозёрный шлифованный, 900г	1 шт / 99.99 руб	99.99	Отсутствует	https://photos.5-delivery.ru/big/product/1165145-main
0	Туалетная бумага Tolli Classic двухслойная белая 4 рулона	1 шт / 79.99 руб	79.99	Отсутствует	https://photos.5-delivery.ru/big/product/1165534-main
28.6	Бумага туалетная Papia Балийский цветок 3 слоя, 8шт	1 шт / 199.9 руб	199.9	279.99	https://photos.5-delivery.ru/big/product/1173174-main
0	Напиток кисломолочный Имунеле for Kids Клубничное мороженое 1.5% 100мл	1 шт / 29.99 руб	29.99	Отсутствует	https://photos.5-delivery.ru/big/product/1187701-main
30.65	Кетчуп Heinz Томатный 320г	1 шт / 85.99 руб	85.99	123.99	https://photos.5-delivery.ru/big/product/1392827-main
0	Сосиски Вязанка молочные 450г	1 шт / 248.99 руб	248.99	Отсутствует	https://photos.5-delivery.ru/big/product/1183284-main
0	Филе грудки цб Приосколье без кожи охлажденное 834г	1 шт / 209.99 руб	209.99	Отсутствует	https://photos.5-delivery.ru/big/product/1440767-main
0	Сода пищевая 500г	1 шт / 36.99 руб	36.99	Отсутствует	https://photos.5-delivery.ru/big/product/1157504-main
0	Сыр творожный Hochland с зеленью 60% 140г	1 шт / 94.99 руб	94.99	Отсутствует	https://photos.5-delivery.ru/big/product/1166357-main
0	Кефир Простоквашино 3.2% 930г	1 шт / 83.99 руб	83.99	Отсутствует	https://photos.5-delivery.ru/big/product/1159321-main
0	Йогурт Teos Греческий 2%, 140г	1 шт / 46.19 руб	46.19	Отсутствует	https://photos.5-delivery.ru/big/product/1177647-main
0	Свекла варёная целая очищенная 500г	1 шт / 69.99 руб	69.99	Отсутствует	https://photos.5-delivery.ru/big/product/1158359-main
0	Хлопья овсяные Селяночка №3 быстрого приготовления, 350г	1 шт / 45.99 руб	45.99	Отсутствует	https://photos.5-delivery.ru/big/product/1164321-main
35.62	Палочки кукурузные Кузя Лакомкин сладкие, 140г	1 шт / 46.99 руб	46.99	72.99	https://photos.5-delivery.ru/big/product/1167356-main
13.04	Авокадо	1 кг / 349.99 руб	140.0	160.996	https://photos.5-delivery.ru/big/product/1185186-main
0	Пельмени Горячая штучка Бульмени со сливочным маслом, 430г	1 шт / 148.99 руб	148.99	Отсутствует	https://photos.5-delivery.ru/big/product/1172111-main
0	Баклажан	1 кг / 234.99 руб	117.5	Отсутствует	https://photos.5-delivery.ru/big/product/1158214-main
0	Влажный корм Whiskas желе с курицей для кошек 75г	1 шт / 18.99 руб	18.99	Отсутствует	https://photos.5-delivery.ru/big/product/1213073-main
